transaction_id,transaction_date,voucher_no,account_head,account_type,category,sub_category,party_name,payment_method,bank_name,reference,debit,credit,amount,remarks,created_by
1,2024-10-18,VCH-000001,Packing Materials,Expense,COGS,Banking,XYZ Ltd.,Cheque,Dutch Bangla Bank,REF-7221-XYtV,22428.93,0.0,22428.93,Fly early morning voice so network few interview.,Finance Manager
2,2025-08-25,VCH-000002,Product Sales,Revenue,Sales,Expense,Tech Solutions,Bank Transfer,Bkash,REF-2399-muNi,0.0,5839.69,5839.69,Thus try threat movie.,Admin
3,2025-06-22,VCH-000003,Administrative Expenses,Expense,OPEX,Operations,XYZ Ltd.,Cash,Bkash,REF-0849-djVe,14334.64,0.0,14334.64,Huge sister tree girl social police.,Accounts Officer
4,2025-08-06,VCH-000004,Loan From Managing Director,Liability,Loan,Expense,XYZ Ltd.,Cash,Dutch Bangla Bank,REF-5424-GlvF,98163.97,0.0,98163.97,Study big page single staff manage reduce.,Managing Director
5,2025-10-15,VCH-000005,Managing Director Personal Expense,Equity,Drawings,Operations,Global Enterprises,Cheque,Nagad,REF-8008-FqBH,54387.19,0.0,54387.19,Field vote food second girl write.,Finance Manager
6,2026-01-17,VCH-000006,Selling & Distribution Expenses,Expense,OPEX,Banking,Global Enterprises,Bkash,Dutch Bangla Bank,REF-3103-FXxa,74823.71,0.0,74823.71,Box thank could different.,Admin
7,2026-04-13,VCH-000007,Selling & Distribution Expenses,Expense,OPEX,Operations,Prime Services,Cash,Sonali Bank,REF-9067-nFVG,98035.69,0.0,98035.69,On hotel but camera garden fill.,Managing Director
8,2025-02-21,VCH-000008,Cashout Charge,Expense,Bank Charge,Expense,ABC Corporation,Cheque,Nagad,REF-3108-uvkm,91711.21,0.0,91711.21,Score offer understand policy sure media.,Accounts Officer
9,2026-03-24,VCH-000009,Production or Cost of Goods Sold (COGS),Expense,COGS,Expense,ABC Corporation,Bank Transfer,Dutch Bangla Bank,REF-1500-vIyx,93149.38,0.0,93149.38,Increase rise prove.,Admin
10,2025-03-06,VCH-000010,Selling & Distribution Expenses,Expense,OPEX,COGS,Tech Solutions,Bkash,City Bank,REF-4695-pXHL,66882.82,0.0,66882.82,Realize simply late drop around pull cause able.,Accounts Officer
11,2024-12-14,VCH-000011,Investment Payment,Equity,Capital,Expense,Tech Solutions,Cheque,Dutch Bangla Bank,REF-3775-ENMQ,47061.16,0.0,47061.16,Support have maintain Mrs.,Accounts Officer
12,2024-09-23,VCH-000012,Depreciation & Amortization,Expense,Non-Cash,Sales,Innovate Ltd.,Cash,Sonali Bank,REF-9562-wPCw,55255.76,0.0,55255.76,Term father class he process leader billion third.,Finance Manager
13,2026-04-30,VCH-000013,Financial Expenses,Expense,Finance,Sales,Green Energy Co.,Cheque,Rupali Bank,REF-3022-DcQk,76209.24,0.0,76209.24,Effort education none arm bag.,Admin
14,2024-08-28,VCH-000014,Loan From Managing Director,Liability,Loan,Expense,Innovate Ltd.,Bkash,Dutch Bangla Bank,REF-8447-rhQE,48818.63,0.0,48818.63,So forget stop our cover bed.,Admin
15,2025-05-18,VCH-000015,Financial Expenses,Expense,Finance,Sales,Prime Services,Bkash,City Bank,REF-6508-ZCuR,80048.58,0.0,80048.58,Finally management majority.,Accounts Officer
16,2025-11-04,VCH-000016,Cashout Charge,Expense,Bank Charge,Expense,ABC Corporation,Cash,Rupali Bank,REF-5432-UXhe,40871.47,0.0,40871.47,Marriage other help design bad.,Admin
17,2024-11-12,VCH-000017,Miscellaneous Expenses,Expense,Other,Capital,Prime Services,Cheque,Dutch Bangla Bank,REF-5054-EWaX,57568.99,0.0,57568.99,Job tree skin under these someone represent.,Admin
18,2025-12-26,VCH-000018,Financial Expenses,Expense,Finance,Banking,ABC Corporation,Bank Transfer,Bkash,REF-4606-echO,27817.98,0.0,27817.98,Office accept better civil character house.,Accounts Officer
19,2024-08-05,VCH-000019,Depreciation & Amortization,Expense,Non-Cash,Expense,Innovate Ltd.,Nagad,Bkash,REF-0538-uzMP,42443.49,0.0,42443.49,Rule all information article care.,Finance Manager
20,2024-06-19,VCH-000020,Managing Director Personal Expense,Equity,Drawings,Capital,XYZ Ltd.,Bkash,Sonali Bank,REF-5388-oHxN,68212.35,0.0,68212.35,Skill central whatever situation like bill including.,Admin
21,2024-11-21,VCH-000021,Administrative Expenses,Expense,OPEX,Sales,XYZ Ltd.,Cash,Janata Bank,REF-1541-tJNL,26461.49,0.0,26461.49,Always science wear final.,Finance Manager
22,2025-10-08,VCH-000022,Cashout Charge,Expense,Bank Charge,Capital,Tech Solutions,Nagad,Sonali Bank,REF-4091-wDmb,76326.02,0.0,76326.02,Develop moment often daughter happen mention hundred half.,Finance Manager
23,2025-06-19,VCH-000023,Salaries & Employee Benefits,Expense,OPEX,Sales,Global Enterprises,Bank Transfer,Nagad,REF-2114-aWEb,20875.67,0.0,20875.67,One return each.,Accounts Officer
24,2024-06-26,VCH-000024,Product Sales,Revenue,Sales,Expense,Green Energy Co.,Cash,Sonali Bank,REF-4890-kHOR,0.0,86024.7,86024.7,Understand nation bad remain sister tax.,Admin
25,2025-01-14,VCH-000025,Production or Cost of Goods Sold (COGS),Expense,COGS,Banking,Innovate Ltd.,Cash,Sonali Bank,REF-3173-kTNc,72573.84,0.0,72573.84,Leg decide movie actually young good court.,Accounts Officer
26,2025-11-30,VCH-000026,Selling & Distribution Expenses,Expense,OPEX,Expense,Prime Services,Cheque,Sonali Bank,REF-1198-NrXR,72746.04,0.0,72746.04,Only fact alone easy thousand better director.,Accounts Officer
27,2024-06-14,VCH-000027,Cashout Charge,Expense,Bank Charge,Banking,Innovate Ltd.,Bkash,Janata Bank,REF-0406-lBgo,2864.83,0.0,2864.83,Reality learn direction along science article election place.,Finance Manager
28,2024-06-16,VCH-000028,Financial Expenses,Expense,Finance,COGS,Global Enterprises,Cheque,City Bank,REF-1352-YQzt,17483.22,0.0,17483.22,A vote office although just too agreement.,Admin
29,2025-05-05,VCH-000029,Miscellaneous Expenses,Expense,Other,Sales,ABC Corporation,Nagad,Sonali Bank,REF-5988-KFwv,68240.37,0.0,68240.37,Thought happy back deep service quickly culture.,Managing Director
30,2025-09-13,VCH-000030,Salaries & Employee Benefits,Expense,OPEX,COGS,ABC Corporation,Cash,Sonali Bank,REF-1483-tROB,97407.21,0.0,97407.21,Health almost international listen rock near still walk.,Admin
31,2025-02-07,VCH-000031,Investment Payment,Equity,Capital,Expense,ABC Corporation,Bkash,Janata Bank,REF-1776-qwCs,6479.2,0.0,6479.2,Place describe campaign class already.,Admin
32,2025-09-11,VCH-000032,Financial Expenses,Expense,Finance,Expense,Innovate Ltd.,Nagad,Sonali Bank,REF-8049-arDJ,68230.74,0.0,68230.74,Tell door option fine create.,Admin
33,2024-08-15,VCH-000033,Managing Director Personal Expense,Equity,Drawings,Banking,Green Energy Co.,Cheque,Janata Bank,REF-3791-MXtn,59688.72,0.0,59688.72,Some art serious attorney.,Admin
34,2025-12-23,VCH-000034,Marketing & Sales Expenses,Expense,OPEX,COGS,XYZ Ltd.,Bank Transfer,Janata Bank,REF-7590-iwvT,56163.93,0.0,56163.93,Best agreement something want themselves.,Finance Manager
35,2024-10-18,VCH-000035,Cashout Charge,Expense,Bank Charge,Expense,Tech Solutions,Cash,Sonali Bank,REF-0976-qJvV,21509.83,0.0,21509.83,Note painting trip glass oil home simple.,Admin
36,2025-07-13,VCH-000036,Selling & Distribution Expenses,Expense,OPEX,Capital,Innovate Ltd.,Cash,BRAC Bank,REF-3809-RIbW,60162.72,0.0,60162.72,Daughter owner eye cultural.,Managing Director
37,2024-09-26,VCH-000037,Salaries & Employee Benefits,Expense,OPEX,COGS,Innovate Ltd.,Bkash,Bkash,REF-3146-vtsk,58345.25,0.0,58345.25,Community like draw campaign improve eye pretty collection.,Managing Director
38,2024-09-18,VCH-000038,Production or Cost of Goods Sold (COGS),Expense,COGS,Banking,ABC Corporation,Bkash,Rupali Bank,REF-1963-EYnf,31053.17,0.0,31053.17,Might very task table effort.,Finance Manager
39,2024-12-04,VCH-000039,Financial Expenses,Expense,Finance,Banking,XYZ Ltd.,Cash,Sonali Bank,REF-5490-WQil,75602.39,0.0,75602.39,Western use effect whatever window wonder every enjoy.,Accounts Officer
40,2024-11-28,VCH-000040,Product Sales,Revenue,Sales,Capital,Prime Services,Cash,City Bank,REF-5255-Wtcz,0.0,90335.64,90335.64,Worry middle continue young open late.,Finance Manager
41,2024-07-28,VCH-000041,Managing Director Personal Expense,Equity,Drawings,Capital,XYZ Ltd.,Nagad,City Bank,REF-7226-VeiR,89616.63,0.0,89616.63,Quite when reflect realize program shoulder raise.,Accounts Officer
42,2024-09-23,VCH-000042,Administrative Expenses,Expense,OPEX,Sales,Green Energy Co.,Bank Transfer,Bkash,REF-0063-oKTu,5568.05,0.0,5568.05,Lawyer make admit something painting option eat how.,Accounts Officer
43,2025-08-16,VCH-000043,Cashout Charge,Expense,Bank Charge,Capital,ABC Corporation,Bkash,Nagad,REF-2941-rnGH,62646.93,0.0,62646.93,Project movie career others partner water.,Managing Director
44,2024-10-06,VCH-000044,Financial Expenses,Expense,Finance,COGS,ABC Corporation,Cheque,Bkash,REF-9274-wNUk,59091.42,0.0,59091.42,Student machine energy class.,Accounts Officer
45,2024-07-04,VCH-000045,Salaries & Employee Benefits,Expense,OPEX,Capital,Global Enterprises,Cash,Nagad,REF-5229-KsLI,12781.57,0.0,12781.57,Factor travel must policy alone.,Finance Manager
46,2026-03-08,VCH-000046,Selling & Distribution Expenses,Expense,OPEX,COGS,Prime Services,Nagad,Janata Bank,REF-3868-SkJx,64735.65,0.0,64735.65,Modern president Congress TV listen subject social visit.,Finance Manager
47,2024-06-22,VCH-000047,Depreciation & Amortization,Expense,Non-Cash,Operations,Prime Services,Bkash,Janata Bank,REF-4454-RiYh,66165.25,0.0,66165.25,Energy example wish arm me into.,Admin
48,2024-11-04,VCH-000048,Marketing & Sales Expenses,Expense,OPEX,Banking,Tech Solutions,Cheque,BRAC Bank,REF-4245-wWIh,15840.17,0.0,15840.17,Leave operation other.,Managing Director
49,2026-04-01,VCH-000049,Product Sales,Revenue,Sales,Banking,Prime Services,Cash,Rupali Bank,REF-6704-wHIn,0.0,2781.9,2781.9,So everybody hair mention paper local they model.,Accounts Officer
50,2025-05-20,VCH-000050,Miscellaneous Expenses,Expense,Other,Capital,Global Enterprises,Cheque,Janata Bank,REF-6051-wwVB,4009.51,0.0,4009.51,Poor cultural hit official.,Accounts Officer
51,2026-05-29,VCH-000051,Administrative Expenses,Expense,OPEX,Operations,Innovate Ltd.,Nagad,Dutch Bangla Bank,REF-0551-pnuD,44737.5,0.0,44737.5,Today sort environment throw sister meet that own.,Managing Director
52,2024-10-26,VCH-000052,Cashout Charge,Expense,Bank Charge,Sales,Tech Solutions,Cash,Janata Bank,REF-4234-BSrf,84006.28,0.0,84006.28,Man response class same.,Accounts Officer
53,2025-12-31,VCH-000053,Administrative Expenses,Expense,OPEX,Banking,Innovate Ltd.,Bank Transfer,City Bank,REF-3591-umlg,11547.91,0.0,11547.91,Personal perform defense late president woman.,Admin
54,2024-08-14,VCH-000054,Selling & Distribution Expenses,Expense,OPEX,Banking,Green Energy Co.,Cheque,Nagad,REF-2187-IJgj,9930.96,0.0,9930.96,Morning forward himself.,Accounts Officer
55,2026-01-16,VCH-000055,Depreciation & Amortization,Expense,Non-Cash,Sales,Green Energy Co.,Cash,Dutch Bangla Bank,REF-0768-MCnT,32967.46,0.0,32967.46,Whether my ball.,Finance Manager
